Tmax,HI
404,311
410,459
411,446
410,490
413,417
411,448
410,286
405,530
413,397
407,225
415,423
412,427
409,484
408,462
408,495
410,468
409,480
405,537
408,518
410,499
409,535
410,378
410,414
409,380
410,354
407,400
409,437
402,317
397,248
407,242
406,264
436,266
439,266
436,358
434,369
436,264
433,295
434,277
430,287
433,326
439,151
441,157
440,181
439,220
441,273
441,253
441,248
442,263
439,261
441,246
439,253
438,256
441,222
440,223
441,245
438,200
438,205
439,244
447,193
447,188
448,167
447,164
448,196
447,177
447,176
449,177
448,151
450,154
449,161
448,162
448,177
448,171
451,188
450,155
449,198
448,182
446,201
448,196
449,228
449,186
448,189
447,186
446,178
449,185
448,165
450,171
448,166
447,167
448,141
450,122
451,126
450,120
450,118
450,118
450,119
448,116
450,122
450,143
449,125
451,121
449,155
450,124
447,156
447,167
448,155
448,178
444,161
449,158
448,165
445,197
447,183
446,188
447,176
446,185
